node_id,subdistrict_id,total_population,vulnerable_population,non_vulnerable_population
N-99.9470928-20.4361241,TH570903,1.657,0.0,1.657
N-99.9481684-20.4359294,TH570903,1.695,0.0,1.695
N-99.9497777-20.4376133,TH570903,1.756,0.0,1.756
N-99.9534834-20.4362964,TH570903,4.259,0.0,4.259
N-99.9542248-20.4365803,TH570903,2.309,0.0,2.309
N-99.9550616-20.4367662,TH570903,2.419,0.0,2.419
N-99.9550818-20.4368445,TH570903,4.949,0.0,4.949
N-99.9595034-20.4368656,TH570903,11.397,0.0,11.397
N-99.9604223-20.4372228,TH570903,2.677,0.0,2.677
N-99.9617178-20.4365397,TH570903,7.851,0.0,7.851
N-99.9624302-20.4362484,TH570903,2.586,0.0,2.586
N-99.9626671-20.4361200,TH570903,5.168,0.0,5.168
N-99.9633619-20.4357283,TH570903,4.936,0.0,4.936
N-99.9778953-20.4354908,TH570903,0.833,0.0,0.833
N-99.9424110-20.4359725,TH570903,2.109,0.0,2.109
N-99.9441734-20.4360214,TH570903,2.086,0.0,2.086
N-99.9442285-20.4357974,TH570903,1.779,0.0,1.779
N-99.9472135-20.4357974,TH570903,1.573,0.0,1.573
N-99.9482623-20.4356805,TH570903,3.304,0.0,3.304
N-99.9482770-20.4355926,TH570903,1.692,0.0,1.692
N-99.9529474-20.4357307,TH570903,5.079,0.0,5.079
N-99.9534692-20.4357970,TH570903,2.271,0.0,2.271
N-99.9539178-20.4362022,TH570903,2.291,0.0,2.291
N-99.9549389-20.4359736,TH570903,7.076,0.0,7.076
N-99.9572852-20.4340631,TH570903,15.622,0.0,15.622
N-99.9591051-20.4345822,TH570903,6.651,0.0,6.651
N-99.9643794-20.4351553,TH570903,7.284,0.0,7.284
N-99.9672389-20.4347192,TH570903,6.246,0.0,6.246
N-99.9685210-20.4343886,TH570903,3.592,0.0,3.592
N-99.9699694-20.4360513,TH570903,1.263,0.0,1.263
N-99.9700659-20.4360060,TH570903,1.262,0.0,1.262
N-99.9725389-20.4337641,TH570903,9.116,0.0,9.116
N-99.9759675-20.4354634,TH570903,2.938,0.0,2.938
N-99.9848637-20.4306800,TH570903,4.739,0.0,4.739
N-99.9881682-20.4308484,TH570903,2.179,0.0,2.179
N-99.9368980-20.4345503,TH570903,5.061,0.0,5.061
N-99.9380567-20.4353044,TH570903,1.579,0.0,1.579
N-99.9383193-20.4352719,TH570903,4.481,0.0,4.481
N-99.9419018-20.4347271,TH570903,3.645,0.0,3.645
N-99.9425546-20.4350368,TH570903,1.953,0.0,1.953
N-99.9426123-20.4351426,TH570903,1.839,0.0,1.839
N-99.9442174-20.4356246,TH570903,1.608,0.0,1.608
N-99.9472243-20.4351841,TH570903,2.459,0.0,2.459
N-99.9482167-20.4354028,TH570903,1.366,0.0,1.366
N-99.9484393-20.4345118,TH570903,9.905,0.0,9.905
N-99.9529604-20.4353186,TH570903,4.793,0.0,4.793
N-99.9529790-20.4352907,TH570903,2.378,0.0,2.378
N-99.9534550-20.4348712,TH570903,2.016,0.0,2.016
N-99.9539740-20.4345607,TH570903,1.987,0.0,1.987
N-99.9548482-20.4350081,TH570903,1.979,0.0,1.979
N-99.9553782-20.4342919,TH570903,6.28,0.0,6.28
N-99.9596187-20.4342366,TH570903,2.168,0.0,2.168
N-99.9598655-20.4340845,TH570903,5.428,0.0,5.428
N-99.9628937-20.4349956,TH570903,5.439,0.0,5.439
N-99.9632263-20.4347005,TH570903,2.693,0.0,2.693
N-99.9653454-20.4346166,TH570903,5.344,0.0,5.344
N-99.9656618-20.4350987,TH570903,2.457,0.0,2.457
N-99.9688717-20.4342297,TH570903,2.107,0.0,2.107
N-99.9702274-20.4349204,TH570903,6.273,0.0,6.273
N-99.9757063-20.4343444,TH570903,2.338,0.0,2.338
N-99.9759022-20.4347902,TH570903,2.065,0.0,2.065
N-99.9770075-20.4350233,TH570903,0.962,0.0,0.962
N-99.9776740-20.4349969,TH570903,0.839,0.0,0.839
N-99.9845713-20.4306474,TH570903,5.832,0.0,5.832
N-99.9851292-20.4306624,TH570903,3.116,0.0,3.116
N-99.9380997-20.4340627,TH570903,2.938,0.0,2.938
N-99.9384052-20.4341208,TH570903,1.523,0.0,1.523
N-99.9389169-20.4335699,TH570903,3.237,0.0,3.237
N-99.9418674-20.4341240,TH570903,11.329,0.0,11.329
N-99.9440194-20.4334889,TH570903,10.152,0.0,10.152
N-99.9468581-20.4342667,TH570903,1.093,0.0,1.093
N-99.9468709-20.4341964,TH570903,5.493,0.0,5.493
N-99.9483696-20.4344816,TH570903,5.102,0.0,5.102
N-99.9529479-20.4337172,TH570903,11.284,0.0,11.284
N-99.9533705-20.4343032,TH570903,2.085,0.0,2.085
N-99.9539195-20.4341545,TH570903,1.909,0.0,1.909
N-99.9591145-20.4345231,TH570903,1.472,0.0,1.472
N-99.9592727-20.4343999,TH570903,1.495,0.0,1.495
N-99.9603148-20.4337490,TH570903,5.113,0.0,5.113
N-99.9612710-20.4333606,TH570903,11.774,0.0,11.774
N-99.9633551-20.4342617,TH570903,5.068,0.0,5.068
N-99.9642451-20.4341350,TH570903,2.714,0.0,2.714
N-99.9658849-20.4343293,TH570903,2.542,0.0,2.542
N-99.9665472-20.4339874,TH570903,2.693,0.0,2.693
N-99.9670565-20.4342806,TH570903,2.69,0.0,2.69
N-99.9685250-20.4343145,TH570903,2.591,0.0,2.591
N-99.9688861-20.4342039,TH570903,2.532,0.0,2.532
N-99.9700151-20.4341379,TH570903,2.541,0.0,2.541
N-99.9706897-20.4338433,TH570903,2.419,0.0,2.419
N-99.9711429-20.4335695,TH570903,4.769,0.0,4.769
N-99.9751833-20.4335638,TH570903,3.455,0.0,3.455
N-99.9752243-20.4336276,TH570903,1.301,0.0,1.301
N-99.9765162-20.4341940,TH570903,0.985,0.0,0.985
N-99.9775265-20.4344603,TH570903,0.861,0.0,0.861
N-99.9776070-20.4345269,TH570903,1.676,0.0,1.676
N-99.9842548-20.4305317,TH570903,3.943,0.0,3.943
N-99.9352624-20.4330529,TH570903,10.489,0.0,10.489
N-99.9367889-20.4321756,TH570903,11.159,0.0,11.159
N-99.9389179-20.4331773,TH570903,5.028,0.0,5.028
N-99.9455640-20.4320954,TH570903,11.115,0.0,11.115
N-99.9531975-20.4330477,TH570903,7.292,0.0,7.292
N-99.9544500-20.4335947,TH570903,3.318,0.0,3.318
N-99.9607587-20.4335039,TH570903,1.518,0.0,1.518
N-99.9637301-20.4335505,TH570903,2.226,0.0,2.226
N-99.9642684-20.4334222,TH570903,2.472,0.0,2.472
N-99.9647002-20.4333091,TH570903,2.471,0.0,2.471
N-99.9658472-20.4334618,TH570903,2.583,0.0,2.583
N-99.9665885-20.4331722,TH570903,5.119,0.0,5.119
N-99.9675468-20.4335897,TH570903,2.692,0.0,2.692
N-99.9682365-20.4334073,TH570903,2.705,0.0,2.705
N-99.9693235-20.4332447,TH570903,2.649,0.0,2.649
N-99.9695046-20.4337017,TH570903,2.647,0.0,2.647
N-99.9708894-20.4331621,TH570903,2.611,0.0,2.611
N-99.9725282-20.4330326,TH570903,4.071,0.0,4.071
N-99.9746645-20.4327563,TH570903,3.654,0.0,3.654
N-99.9758143-20.4331726,TH570903,1.005,0.0,1.005
N-99.9767518-20.4336711,TH570903,0.994,0.0,0.994
N-99.9778409-20.4327725,TH570903,5.983,0.0,5.983
N-99.9797809-20.4306587,TH570903,3.607,0.0,3.607
N-99.9807639-20.4304815,TH570903,3.551,0.0,3.551
N-99.9344558-20.4335425,TH570903,3.982,0.0,3.982
N-99.9374022-20.4319339,TH570903,7.299,0.0,7.299
N-99.9388984-20.4322844,TH570903,5.018,0.0,5.018
N-99.9420889-20.4323132,TH570903,10.614,0.0,10.614
N-99.9438283-20.4320715,TH570903,4.176,0.0,4.176
N-99.9541800-20.4327075,TH570903,3.795,0.0,3.795
N-99.9605193-20.4335605,TH570903,2.78,0.0,2.78
N-99.9636803-20.4322506,TH570903,1.478,0.0,1.478
N-99.9637117-20.4325872,TH570903,1.522,0.0,1.522
N-99.9640216-20.4327662,TH570903,1.534,0.0,1.534
N-99.9644534-20.4328542,TH570903,3.563,0.0,3.563
N-99.9660721-20.4332186,TH570903,2.253,0.0,2.253
N-99.9676062-20.4327564,TH570903,8.955,0.0,8.955
N-99.9683292-20.4325563,TH570903,2.536,0.0,2.536
N-99.9692446-20.4326181,TH570903,2.52,0.0,2.52
N-99.9697709-20.4325299,TH570903,4.611,0.0,4.611
N-99.9707819-20.4328009,TH570903,2.649,0.0,2.649
N-99.9721382-20.4324125,TH570903,2.495,0.0,2.495
N-99.9724575-20.4323216,TH570903,2.17,0.0,2.17
N-99.9731834-20.4321255,TH570903,1.946,0.0,1.946
N-99.9744095-20.4323512,TH570903,1.901,0.0,1.901
N-99.9758850-20.4324301,TH570903,1.376,0.0,1.376
N-99.9763021-20.4323445,TH570903,0.997,0.0,0.997
N-99.9794041-20.4307856,TH570903,0.89,0.0,0.89
N-99.9808927-20.4304413,TH570903,0.831,0.0,0.831
N-99.9811381-20.4303332,TH570903,4.242,0.0,4.242
N-99.9868780-20.4303885,TH570903,2.904,0.0,2.904
N-99.9311255-20.4300389,TH570903,15.794,0.0,15.794
N-99.9380889-20.4318016,TH570903,2.987,0.0,2.987
N-99.9388938-20.4314636,TH570903,11.129,0.0,11.129
N-99.9400626-20.4309978,TH570903,4.811,0.0,4.811
N-99.9406198-20.4307590,TH570903,6.501,0.0,6.501
N-99.9437353-20.4316168,TH570903,4.26,0.0,4.26
N-99.9502484-20.4294410,TH570903,1.933,0.0,1.933
N-99.9509719-20.4296589,TH570903,2.914,0.0,2.914
N-99.9514111-20.4297921,TH570903,3.062,0.0,3.062
N-99.9532431-20.4316879,TH570903,3.955,0.0,3.955
N-99.9538838-20.4317022,TH570903,1.173,0.0,1.173
N-99.9539601-20.4319715,TH570903,1.036,0.0,1.036
N-99.9559829-20.4300600,TH570903,4.864,0.0,4.864
N-99.9564047-20.4300196,TH570903,1.779,0.0,1.779
N-99.9567413-20.4299568,TH570903,2.535,0.0,2.535
N-99.9578633-20.4297055,TH570903,1.76,0.0,1.76
N-99.9581101-20.4296471,TH570903,2.772,0.0,2.772
N-99.9636040-20.4317614,TH570903,4.366,0.0,4.366
N-99.9653707-20.4331168,TH570903,1.512,0.0,1.512
N-99.9686336-20.4321102,TH570903,8.262,0.0,8.262
N-99.9709134-20.4307284,TH570903,2.402,0.0,2.402
N-99.9724001-20.4319229,TH570903,2.208,0.0,2.208
N-99.9726610-20.4317545,TH570903,2.205,0.0,2.205
N-99.9730230-20.4314468,TH570903,1.946,0.0,1.946
N-99.9743138-20.4318162,TH570903,1.892,0.0,1.892
N-99.9753544-20.4316332,TH570903,1.851,0.0,1.851
N-99.9757373-20.4314674,TH570903,1.384,0.0,1.384
N-99.9767065-20.4318136,TH570903,1.225,0.0,1.225
N-99.9775012-20.4316447,TH570903,0.879,0.0,0.879
N-99.9779307-20.4310785,TH570903,0.875,0.0,0.875
N-99.9792820-20.4308032,TH570903,0.863,0.0,0.863
N-99.9371249-20.4320167,TH570903,4.783,0.0,4.783
N-99.9377467-20.4318909,TH570903,1.633,0.0,1.633
N-99.9415714-20.4304573,TH570903,2.635,0.0,2.635
N-99.9421459-20.4308448,TH570903,2.374,0.0,2.374
N-99.9436757-20.4308183,TH570903,2.169,0.0,2.169
N-99.9440006-20.4309116,TH570903,1.977,0.0,1.977
N-99.9446611-20.4303863,TH570903,3.847,0.0,3.847
N-99.9458272-20.4294819,TH570903,2.958,0.0,2.958
N-99.9464110-20.4291195,TH570903,1.031,0.0,1.031
N-99.9495766-20.4291096,TH570903,1.82,0.0,1.82
N-99.9499641-20.4293123,TH570903,1.743,0.0,1.743
N-99.9505325-20.4295181,TH570903,2.591,0.0,2.591
N-99.9517729-20.4299252,TH570903,1.842,0.0,1.842
N-99.9525452-20.4300106,TH570903,2.521,0.0,2.521
N-99.9534530-20.4306431,TH570903,0.91,0.0,0.91
N-99.9536953-20.4311861,TH570903,0.849,0.0,0.849
N-99.9549282-20.4300824,TH570903,3.871,0.0,3.871
N-99.9573382-20.4297862,TH570903,3.091,0.0,3.091
N-99.9582403-20.4295888,TH570903,0.833,0.0,0.833
N-99.9585051-20.4293778,TH570903,2.472,0.0,2.472
N-99.9607580-20.4285835,TH570903,4.813,0.0,4.813
N-99.9634514-20.4304554,TH570903,4.549,0.0,4.549
N-99.9635143-20.4307920,TH570903,3.583,0.0,3.583
N-99.9635636-20.4311510,TH570903,2.468,0.0,2.468
N-99.9693920-20.4298401,TH570903,1.809,0.0,1.809
N-99.9703449-20.4303091,TH570903,1.614,0.0,1.614
N-99.9708063-20.4307237,TH570903,1.599,0.0,1.599
N-99.9716731-20.4306731,TH570903,4.889,0.0,4.889
N-99.9723057-20.4308832,TH570903,1.88,0.0,1.88
N-99.9729543-20.4311214,TH570903,1.88,0.0,1.88
N-99.9742539-20.4309889,TH570903,4.527,0.0,4.527
N-99.9756039-20.4307254,TH570903,1.473,0.0,1.473
N-99.9756183-20.4308724,TH570903,1.336,0.0,1.336
N-99.9761843-20.4309082,TH570903,1.178,0.0,1.178
N-99.9774356-20.4312776,TH570903,0.896,0.0,0.896
N-99.9785272-20.4307457,TH570903,0.889,0.0,0.889
N-99.9791412-20.4307869,TH570903,0.874,0.0,0.874
N-99.9820299-20.4298669,TH570903,3.391,0.0,3.391
N-99.9841019-20.4304036,TH570903,0.824,0.0,0.824
N-99.9411920-20.4302238,TH570903,2.31,0.0,2.31
N-99.9420620-20.4297549,TH570903,2.604,0.0,2.604
N-99.9425698-20.4296805,TH570903,2.472,0.0,2.472
N-99.9437135-20.4298573,TH570903,2.069,0.0,2.069
N-99.9445254-20.4302054,TH570903,4.079,0.0,4.079
N-99.9461292-20.4293040,TH570903,3.561,0.0,3.561
N-99.9471547-20.4288463,TH570903,2.303,0.0,2.303
N-99.9484518-20.4286985,TH570903,2.749,0.0,2.749
N-99.9533440-20.4299747,TH570903,0.807,0.0,0.807
N-99.9544301-20.4300645,TH570903,3.066,0.0,3.066
N-99.9593533-20.4288887,TH570903,3.71,0.0,3.71
N-99.9622659-20.4287047,TH570903,3.234,0.0,3.234
N-99.9632764-20.4296970,TH570903,3.69,0.0,3.69
N-99.9692369-20.4295972,TH570903,4.806,0.0,4.806
N-99.9693510-20.4298167,TH570903,1.791,0.0,1.791
N-99.9700326-20.4301675,TH570903,1.258,0.0,1.258
N-99.9705831-20.4303692,TH570903,2.267,0.0,2.267
N-99.9721156-20.4307603,TH570903,4.963,0.0,4.963
N-99.9729193-20.4311101,TH570903,1.779,0.0,1.779
N-99.9755926-20.4306109,TH570903,1.335,0.0,1.335
N-99.9762138-20.4295739,TH570903,10.11,0.0,10.11
N-99.9768222-20.4296048,TH570903,1.996,0.0,1.996
N-99.9773184-20.4300238,TH570903,0.892,0.0,0.892
N-99.9789779-20.4303267,TH570903,0.899,0.0,0.899
N-99.9792219-20.4298910,TH570903,0.887,0.0,0.887
N-99.9816973-20.4299712,TH570903,3.211,0.0,3.211
N-99.9827461-20.4297614,TH570903,4.099,0.0,4.099
N-99.9833442-20.4297877,TH570903,1.759,0.0,1.759
N-99.9838150-20.4298066,TH570903,2.559,0.0,2.559
N-99.9311041-20.4296971,TH570903,5.626,0.0,5.626
N-99.9412128-20.4294918,TH570903,3.492,0.0,3.492
N-99.9412235-20.4294660,TH570903,12.181,0.0,12.181
N-99.9415944-20.4294403,TH570903,2.529,0.0,2.529
N-99.9427989-20.4291567,TH570903,2.415,0.0,2.415
N-99.9432324-20.4291046,TH570903,2.21,0.0,2.21
N-99.9445182-20.4292631,TH570903,2.09,0.0,2.09
N-99.9450892-20.4288251,TH570903,2.018,0.0,2.018
N-99.9465663-20.4289794,TH570903,1.845,0.0,1.845
N-99.9493830-20.4289764,TH570903,1.728,0.0,1.728
N-99.9532824-20.4299475,TH570903,2.292,0.0,2.292
N-99.9588372-20.4290771,TH570903,2.957,0.0,2.957
N-99.9603137-20.4286194,TH570903,3.0,0.0,3.0
N-99.9624634-20.4287002,TH570903,1.648,0.0,1.648
N-99.9631014-20.4292033,TH570903,0.848,0.0,0.848
N-99.9661569-20.4272012,TH570903,2.967,0.0,2.967
N-99.9668032-20.4272402,TH570903,5.307,0.0,5.307
N-99.9692489-20.4295268,TH570903,2.459,0.0,2.459
N-99.9692949-20.4294781,TH570903,5.511,0.0,5.511
N-99.9705101-20.4303391,TH570903,1.241,0.0,1.241
N-99.9722787-20.4308438,TH570903,1.077,0.0,1.077
N-99.9776069-20.4289387,TH570903,4.663,0.0,4.663
N-99.9782940-20.4291244,TH570903,0.998,0.0,0.998
N-99.9791237-20.4292383,TH570903,0.965,0.0,0.965
N-99.9792109-20.4293890,TH570903,1.065,0.0,1.065
N-99.9818516-20.4299122,TH570903,0.963,0.0,0.963
N-99.9837506-20.4297676,TH570903,3.661,0.0,3.661
N-99.9308037-20.4287017,TH570903,2.632,0.0,2.632
N-99.9311255-20.4271936,TH570903,3.831,0.0,3.831
N-99.9313616-20.4266909,TH570903,4.818,0.0,4.818
N-99.9412771-20.4294365,TH570903,2.478,0.0,2.478
N-99.9421152-20.4284428,TH570903,7.082,0.0,7.082
N-99.9436163-20.4285083,TH570903,2.343,0.0,2.343
N-99.9444129-20.4283178,TH570903,2.08,0.0,2.08
N-99.9450530-20.4284945,TH570903,2.014,0.0,2.014
N-99.9465229-20.4285787,TH570903,2.001,0.0,2.001
N-99.9467228-20.4285176,TH570903,1.788,0.0,1.788
N-99.9470694-20.4280239,TH570903,3.089,0.0,3.089
N-99.9491115-20.4287993,TH570903,0.888,0.0,0.888
N-99.9523701-20.4300061,TH570903,0.756,0.0,0.756
N-99.9586397-20.4292432,TH570903,0.754,0.0,0.754
N-99.9630056-20.4285540,TH570903,0.821,0.0,0.821
N-99.9636396-20.4275584,TH570903,3.827,0.0,3.827
N-99.9645851-20.4270533,TH570903,2.306,0.0,2.306
N-99.9674815-20.4271224,TH570903,3.409,0.0,3.409
N-99.9681914-20.4270338,TH570903,1.869,0.0,1.869
N-99.9787161-20.4285140,TH570903,2.434,0.0,2.434
N-99.9789708-20.4289971,TH570903,1.291,0.0,1.291
N-99.9836473-20.4297563,TH570903,2.14,0.0,2.14
N-99.9312114-20.4269624,TH570903,1.271,0.0,1.271
N-99.9316930-20.4259888,TH570903,9.346,0.0,9.346
N-99.9424216-20.4273220,TH570903,7.324,0.0,7.324
N-99.9435398-20.4274479,TH570903,2.13,0.0,2.13
N-99.9441284-20.4274669,TH570903,1.999,0.0,1.999
N-99.9445655-20.4273572,TH570903,1.995,0.0,1.995
N-99.9456076-20.4268249,TH570903,1.863,0.0,1.863
N-99.9474237-20.4275287,TH570903,1.044,0.0,1.044
N-99.9482334-20.4271358,TH570903,0.903,0.0,0.903
N-99.9486771-20.4268880,TH570903,0.884,0.0,0.884
N-99.9490561-20.4265100,TH570903,3.314,0.0,3.314
N-99.9496048-20.4262234,TH570903,4.044,0.0,4.044
N-99.9511713-20.4254951,TH570903,1.596,0.0,1.596
N-99.9515881-20.4253076,TH570903,2.269,0.0,2.269
N-99.9639224-20.4273206,TH570903,2.223,0.0,2.223
N-99.9648338-20.4270037,TH570903,1.515,0.0,1.515
N-99.9685025-20.4269542,TH570903,2.461,0.0,2.461
N-99.9694767-20.4264728,TH570903,4.87,0.0,4.87
N-99.9709897-20.4257699,TH570903,3.333,0.0,3.333
N-99.9714593-20.4255473,TH570903,4.569,0.0,4.569
N-99.9787094-20.4272693,TH570903,6.298,0.0,6.298
N-99.9870041-20.4303985,TH570903,0.793,0.0,0.793
N-99.9350523-20.4230010,TH570903,18.718,0.0,18.718
N-99.9422729-20.4265013,TH570903,20.848,0.0,20.848
N-99.9426832-20.4267206,TH570903,2.36,0.0,2.36
N-99.9436757-20.4267313,TH570903,2.102,0.0,2.102
N-99.9437294-20.4267062,TH570903,1.984,0.0,1.984
N-99.9449558-20.4268953,TH570903,1.9,0.0,1.9
N-99.9458724-20.4267809,TH570903,1.782,0.0,1.782
N-99.9465034-20.4267659,TH570903,4.261,0.0,4.261
N-99.9474660-20.4271118,TH570903,2.065,0.0,2.065
N-99.9485961-20.4267748,TH570903,0.842,0.0,0.842
N-99.9504081-20.4257901,TH570903,1.568,0.0,1.568
N-99.9521597-20.4251144,TH570903,2.174,0.0,2.174
N-99.9534097-20.4247727,TH570903,6.853,0.0,6.853
N-99.9559966-20.4243708,TH570903,7.09,0.0,7.09
N-99.9566701-20.4243028,TH570903,5.261,0.0,5.261
N-99.9637653-20.4274022,TH570903,2.121,0.0,2.121
N-99.9642604-20.4271673,TH570903,1.451,0.0,1.451
N-99.9650321-20.4269736,TH570903,2.88,0.0,2.88
N-99.9652863-20.4269903,TH570903,2.947,0.0,2.947
N-99.9728272-20.4248888,TH570903,6.292,0.0,6.292
N-99.9743775-20.4241397,TH570903,7.13,0.0,7.13
N-99.9787767-20.4265871,TH570903,7.872,0.0,7.872
N-99.9793842-20.4254314,TH570903,13.057,0.0,13.057
N-99.9816826-20.4244578,TH570903,5.043,0.0,5.043
N-99.9821426-20.4244188,TH570903,2.826,0.0,2.826
N-99.9824443-20.4243447,TH570903,3.573,0.0,3.573
N-99.9830143-20.4241813,TH570903,14.992,0.0,14.992
N-99.9865951-20.4234926,TH570903,15.838,0.0,15.838
N-99.9425746-20.4262148,TH570903,2.455,0.0,2.455
N-99.9433242-20.4256453,TH570903,4.525,0.0,4.525
N-99.9440047-20.4255452,TH570903,1.99,0.0,1.99
N-99.9446741-20.4256850,TH570903,1.901,0.0,1.901
N-99.9459764-20.4267703,TH570903,1.805,0.0,1.805
N-99.9508564-20.4255166,TH570903,0.779,0.0,0.779
N-99.9579059-20.4242012,TH570903,4.494,0.0,4.494
N-99.9582178-20.4241432,TH570903,5.848,0.0,5.848
N-99.9598612-20.4234343,TH570903,5.234,0.0,5.234
N-99.9678344-20.4270775,TH570903,2.288,0.0,2.288
N-99.9704083-20.4254419,TH570903,0.785,0.0,0.785
N-99.9731169-20.4247128,TH570903,2.309,0.0,2.309
N-99.9756167-20.4237878,TH570903,8.562,0.0,8.562
N-99.9788652-20.4261849,TH570903,6.276,0.0,6.276
N-99.9791452-20.4256864,TH570903,4.403,0.0,4.403
N-99.9827756-20.4242479,TH570903,1.419,0.0,1.419
N-99.9425237-20.4262386,TH570903,2.644,0.0,2.644
N-99.9425451-20.4262198,TH570903,3.378,0.0,3.378
N-99.9437517-20.4249488,TH570903,2.155,0.0,2.155
N-99.9442779-20.4249605,TH570903,1.977,0.0,1.977
N-99.9449819-20.4251025,TH570903,5.424,0.0,5.424
N-99.9508868-20.4250243,TH570903,2.376,0.0,2.376
N-99.9601552-20.4232523,TH570903,1.262,0.0,1.262
N-99.9704083-20.4253615,TH570903,4.277,0.0,4.277
N-99.9705585-20.4252081,TH570903,1.073,0.0,1.073
N-99.9736748-20.4243559,TH570903,3.533,0.0,3.533
N-99.9789907-20.4259069,TH570903,2.353,0.0,2.353
N-99.9809115-20.4243497,TH570903,2.347,0.0,2.347
N-99.9352669-20.4227094,TH570903,2.945,0.0,2.945
N-99.9437579-20.4248989,TH570903,1.968,0.0,1.968
N-99.9438971-20.4237136,TH570903,11.607,0.0,11.607
N-99.9444844-20.4240594,TH570903,2.074,0.0,2.074
N-99.9447338-20.4244515,TH570903,3.881,0.0,3.881
N-99.9457866-20.4228855,TH570903,3.134,0.0,3.134
N-99.9510642-20.4246917,TH570903,0.776,0.0,0.776
N-99.9513234-20.4242978,TH570903,0.772,0.0,0.772
N-99.9513771-20.4240483,TH570903,3.17,0.0,3.17
N-99.9516596-20.4236698,TH570903,1.49,0.0,1.49
N-99.9603628-20.4230173,TH570903,3.226,0.0,3.226
N-99.9609360-20.4221876,TH570903,11.702,0.0,11.702
N-99.9710407-20.4245073,TH570903,5.09,0.0,5.09
N-99.9713384-20.4241277,TH570903,5.552,0.0,5.552
N-99.9768398-20.4233706,TH570903,6.594,0.0,6.594
N-99.9777893-20.4230538,TH570903,5.343,0.0,5.343
N-99.9806995-20.4242765,TH570903,2.304,0.0,2.304
N-99.9808176-20.4243258,TH570903,2.047,0.0,2.047
N-99.9814756-20.4239419,TH570903,2.206,0.0,2.206
N-99.9826187-20.4242818,TH570903,2.465,0.0,2.465
N-99.9354600-20.4222972,TH570903,1.693,0.0,1.693
N-99.9356638-20.4219151,TH570903,13.517,0.0,13.517
N-99.9432438-20.4214782,TH570903,2.838,0.0,2.838
N-99.9433789-20.4217004,TH570903,7.772,0.0,7.772
N-99.9442032-20.4229501,TH570903,2.267,0.0,2.267
N-99.9449767-20.4229345,TH570903,2.022,0.0,2.022
N-99.9457264-20.4229194,TH570903,1.961,0.0,1.961
N-99.9458134-20.4228529,TH570903,4.231,0.0,4.231
N-99.9517437-20.4234663,TH570903,1.521,0.0,1.521
N-99.9522761-20.4230746,TH570903,0.719,0.0,0.719
N-99.9523438-20.4230089,TH570903,0.697,0.0,0.697
N-99.9642776-20.4201455,TH570903,5.589,0.0,5.589
N-99.9646248-20.4200701,TH570903,4.28,0.0,4.28
N-99.9719553-20.4235032,TH570903,2.342,0.0,2.342
N-99.9780950-20.4228729,TH570903,2.186,0.0,2.186
N-99.9788172-20.4227492,TH570903,2.393,0.0,2.393
N-99.9802892-20.4224979,TH570903,4.555,0.0,4.555
N-99.9813617-20.4236950,TH570903,1.989,0.0,1.989
N-99.9818303-20.4232847,TH570903,2.23,0.0,2.23
N-99.9821191-20.4229711,TH570903,2.425,0.0,2.425
N-99.9841160-20.4226247,TH570903,2.219,0.0,2.219
N-99.9850836-20.4223753,TH570903,2.09,0.0,2.09
N-99.9864610-20.4232299,TH570903,2.004,0.0,2.004
N-99.9865441-20.4234121,TH570903,1.303,0.0,1.303
N-99.9431704-20.4213134,TH570903,7.399,0.0,7.399
N-99.9436182-20.4219199,TH570903,2.13,0.0,2.13
N-99.9440935-20.4222362,TH570903,2.0,0.0,2.0
N-99.9448223-20.4223715,TH570903,1.956,0.0,1.956
N-99.9458403-20.4226065,TH570903,5.161,0.0,5.161
N-99.9471752-20.4206449,TH570903,2.625,0.0,2.625
N-99.9518745-20.4232759,TH570903,1.496,0.0,1.496
N-99.9520076-20.4231906,TH570903,0.724,0.0,0.724
N-99.9526123-20.4225297,TH570903,0.683,0.0,0.683
N-99.9527664-20.4221096,TH570903,1.38,0.0,1.38
N-99.9529135-20.4218710,TH570903,1.27,0.0,1.27
N-99.9624211-20.4204780,TH570903,7.879,0.0,7.879
N-99.9648582-20.4199248,TH570903,9.89,0.0,9.89
N-99.9723067-20.4226436,TH570903,7.774,0.0,7.774
N-99.9724175-20.4224934,TH570903,6.255,0.0,6.255
N-99.9731535-20.4222197,TH570903,1.905,0.0,1.905
N-99.9746407-20.4222131,TH570903,5.393,0.0,5.393
N-99.9783794-20.4223752,TH570903,3.834,0.0,3.834
N-99.9792615-20.4224306,TH570903,2.523,0.0,2.523
N-99.9803296-20.4224755,TH570903,2.27,0.0,2.27
N-99.9819767-20.4220132,TH570903,4.808,0.0,4.808
N-99.9823778-20.4224029,TH570903,2.691,0.0,2.691
N-99.9831095-20.4222571,TH570903,2.527,0.0,2.527
N-99.9841583-20.4226191,TH570903,2.603,0.0,2.603
N-99.9850488-20.4223727,TH570903,2.432,0.0,2.432
N-99.9860562-20.4226774,TH570903,2.082,0.0,2.082
N-99.9864735-20.4227044,TH570903,1.811,0.0,1.811
N-99.9869178-20.4218606,TH570903,2.568,0.0,2.568
N-99.9871647-20.4215959,TH570903,11.198,0.0,11.198
N-99.9445044-20.4219754,TH570903,1.879,0.0,1.879
N-99.9448799-20.4217944,TH570903,1.818,0.0,1.818
N-99.9455665-20.4212917,TH570903,3.715,0.0,3.715
N-99.9464431-20.4209648,TH570903,4.737,0.0,4.737
